"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"10","Afghanistan",2020-07-20,181,35526,51,1185,4,23741,107,10600,91.3,0.1,27.2,3,0,115,105
"165","Albania",2020-07-20,181,4171,81,113,1,2352,41,1706,144.9,2.8,59.3,3.9,0,119,114
"324","Algeria",2020-07-20,181,23691,607,1087,9,16400,349,6204,54,1.4,14.1,2.5,0,121,122
"501","Andorra",2020-07-20,181,884,4,52,0,803,0,29,1148.1,5.2,37.7,67.5,0,120,111
"691","Angola",2020-07-20,181,749,44,29,0,221,0,499,2.3,0.1,1.5,0.1,0,40,28
"701","Antigua and Barbuda",2020-07-20,181,76,0,3,0,57,0,16,77.6,0,16.3,3.1,0,0,0
"871","Argentina",2020-07-20,181,130774,4019,2373,113,55913,1808,72488,289.3,8.9,160.4,5.3,0.3,122,115
"993","Armenia",2020-07-20,181,34981,104,650,9,23502,208,10829,1180.6,3.5,365.5,21.9,0.3,123,102
"1209","Australia",2020-07-20,181,12428,359,126,3,8398,3,3904,48.7,1.4,15.3,0.5,0,132,116
"1361","Austria",2020-07-20,181,19743,88,711,0,17659,60,1373,219.2,1,15.2,7.9,0,134,120
"1565","Azerbaijan",2020-07-20,181,27890,369,363,9,19490,523,8037,275.1,3.6,79.3,3.6,0.1,116,101
"1668","Bahrain",2020-07-20,181,36936,514,128,2,32965,593,3843,2170.2,30.2,225.8,7.5,0.1,132,68
"1781","Bangladesh",2020-07-20,181,207453,2928,2668,50,113556,1914,91229,126,1.8,55.4,1.6,0,105,105
"1929","Barbados",2020-07-20,181,106,1,7,0,91,0,8,36.9,0.3,2.8,2.4,0,9,0
"2078","Belarus",2020-07-20,181,66213,118,503,4,58290,86,7420,700.7,1.2,78.5,5.3,0,112,105
"2242","Belgium",2020-07-20,181,64094,388,9805,5,17321,32,36968,553,3.3,319,84.6,0,136,125
"2385","Belize",2020-07-20,181,40,0,2,0,22,0,16,10.1,0,4,0.5,0,0,0
"2488","Benin",2020-07-20,181,1602,0,31,0,782,0,789,13.2,0,6.5,0.3,0,74,32
"2573","Bhutan",2020-07-20,181,90,1,0,0,83,1,7,11.7,0.1,0.9,0,0,0,0
"2710","Bolivia",2020-07-20,181,60991,1409,2218,67,18875,322,39898,522.5,12.1,341.8,19,0.6,111,107
"2913","Bosnia and Herzegovina",2020-07-20,181,8479,139,255,6,3755,86,4469,258.4,4.2,136.2,7.8,0.2,120,112
"2953","Botswana",2020-07-20,181,522,0,1,0,48,0,473,22.2,0,20.1,0,0,21,0
"3180","Brazil",2020-07-20,181,2118646,20257,80120,632,1514300,55228,524226,996.7,9.5,246.6,37.7,0.3,129,122
"3287","Brunei",2020-07-20,181,141,0,3,0,138,0,0,32.3,0,0,0.7,0,118,0
"3447","Bulgaria",2020-07-20,181,8929,196,308,8,4205,99,4416,128.5,2.8,63.6,4.4,0.1,122,110
"3580","Burkina Faso",2020-07-20,181,1065,13,53,0,901,0,111,5.1,0.1,0.5,0.3,0,118,114
"3717","Burma",2020-07-20,181,341,0,6,0,278,2,57,0.6,0,0.1,0,0,92,0
"3794","Burundi",2020-07-20,181,322,12,1,0,207,0,114,2.7,0.1,1,0,0,34,0
"3875","Cambodia",2020-07-20,181,171,0,0,0,136,0,35,1,0,0.2,0,0,113,0
"4142","Cameroon",2020-07-20,181,16157,0,373,0,13728,0,2056,60.9,0,7.7,1.4,0,113,103
"4290","Canada",2020-07-20,181,112938,770,8902,6,98975,411,5061,299.2,2,13.4,23.6,0,131,122
"4355","Cape Verde",2020-07-20,181,2071,26,21,0,1063,90,987,372.5,4.7,177.5,3.8,0,85,24
"4575","Central African Republic",2020-07-20,181,4548,63,55,0,1400,52,3093,94.2,1.3,64,1.1,0,73,34
"4578","Chad",2020-07-20,181,889,0,75,0,801,0,13,5.4,0,0.1,0.5,0,79,79
"4724","Chile",2020-07-20,181,330930,0,8503,0,301794,0,20633,1731.2,0,107.9,44.5,0,126,111
"4973","Colombia",2020-07-20,181,204005,6727,6929,193,95804,4011,101272,400.9,13.2,199,13.6,0.4,124,113
"5059","Comoros",2020-07-20,181,334,0,7,0,313,0,14,38.4,0,1.6,0.8,0,51,0
"5088","Costa Rica",2020-07-20,181,11534,420,66,4,3019,53,8449,226.4,8.2,165.9,1.3,0.1,121,65
"5317","Cote d'Ivoire",2020-07-20,181,14312,193,92,0,8659,293,5561,54.3,0.7,21.1,0.3,0,115,90
"5400","Croatia",2020-07-20,181,4370,25,122,2,3101,83,1147,106.5,0.6,27.9,3,0,123,107
"5489","Cuba",2020-07-20,181,2446,0,87,0,2308,0,51,21.6,0,0.5,0.8,0,114,104
"5690","Cyprus",2020-07-20,181,1038,0,19,0,847,2,172,86,0,14.3,1.6,0,119,105
"5753","Czech Republic",2020-07-20,181,14098,153,359,0,8836,75,4903,131.6,1.4,45.8,3.4,0,129,114
"5979","Democratic Republic of the Congo",2020-07-20,181,8443,40,194,0,4335,0,3914,9.4,0,4.4,0.2,0,110,109
"6111","Denmark",2020-07-20,181,13466,89,611,0,12452,42,403,232.5,1.5,7,10.5,0,132,121
"6233","Diamond Princess Cruise Ship",2020-07-20,181,712,0,13,0,651,0,48,NA,NA,NA,NA,NA,161,118
"6426","Djibouti",2020-07-20,181,5020,9,56,0,4868,30,96,508.1,0.9,9.7,5.7,0,103,60
"6496","Dominica",2020-07-20,181,18,0,0,0,18,0,0,25,0,0,0,0,0,0
"6648","Dominican Republic",2020-07-20,181,53956,1101,993,12,25561,467,27402,497.4,10.1,252.6,9.2,0.1,121,117
"6784","Ecuador",2020-07-20,181,74620,607,5318,5,31955,54,37347,422.9,3.4,211.7,30.1,0,124,120
"7011","Egypt",2020-07-20,181,88402,627,4352,50,28924,544,55126,86.4,0.6,53.9,4.3,0,128,121
"7063","El Salvador",2020-07-20,181,12207,361,344,9,6831,126,5032,188.2,5.6,77.6,5.3,0.1,102,81
"7202","Equatorial Guinea",2020-07-20,181,3071,0,51,0,842,0,2178,218.9,0,155.2,3.6,0,87,60
"7323","Eritrea",2020-07-20,181,251,0,0,0,155,0,96,7.1,0,2.7,0,0,35,0
"7463","Estonia",2020-07-20,181,2021,0,69,0,1912,0,40,152.3,0,3,5.2,0,128,109
"7634","Eswatini",2020-07-20,181,1826,33,23,2,850,28,953,157.4,2.8,82.2,2,0.2,81,22
"7743","Ethiopia",2020-07-20,181,10207,704,170,3,2430,0,7607,8.9,0.6,6.6,0.1,0,93,50
"7845","Fiji",2020-07-20,181,27,0,0,0,18,0,9,3,0,1,0,0,0,0
"8088","Finland",2020-07-20,181,7340,5,328,0,6880,0,132,132.5,0.1,2.4,5.9,0,129,113
"8229","France",2020-07-20,181,214023,2080,30180,25,79668,297,104175,327.9,3.2,159.6,46.2,0,142,135
"8279","Gabon",2020-07-20,181,6433,118,46,0,4034,169,2353,289,5.3,105.7,2.1,0,94,67
"8537","Georgia",2020-07-20,181,1039,11,16,1,900,1,123,26,0.3,3.1,0.4,0,112,73
"8698","Germany",2020-07-20,181,203325,590,9094,2,188070,670,6161,242.7,0.7,7.4,10.9,0,141,127
"8829","Ghana",2020-07-20,181,28430,763,153,5,24901,1652,3376,91.5,2.5,10.9,0.5,0,116,87
"8926","Greece",2020-07-20,181,4012,5,195,1,1374,0,2443,38.5,0,23.4,1.9,0,129,121
"9013","Grenada",2020-07-20,181,23,0,0,0,23,0,0,20.4,0,0,0,0,0,0
"9238","Guatemala",2020-07-20,181,39039,362,1502,17,25539,2174,11998,217.9,2,67,8.4,0.1,101,88
"9253","Guinea",2020-07-20,181,6590,46,40,1,5591,80,959,50.2,0.4,7.3,0.3,0,107,76
"9469","Guinea-Bissau",2020-07-20,181,1949,0,26,0,803,0,1120,99,0,56.9,1.3,0,82,45
"9517","Guyana",2020-07-20,181,337,1,19,0,163,0,155,42.8,0.1,19.7,2.4,0,71,76
"9701","Haiti",2020-07-20,181,7053,0,146,0,3877,0,3030,61.9,0,26.6,1.3,0,77,77
"9829","Holy See (Vatican City)",2020-07-20,181,12,0,0,0,12,0,0,1200,0,0,0,0,0,0
"9891","Honduras",2020-07-20,181,34611,776,935,35,3905,104,29771,349.4,7.8,300.6,9.4,0.4,113,110
"10024","Hong Kong",2020-07-20,181,1655,0,10,0,1254,0,391,22.1,0,5.2,0.1,0,140,5
"10283","Hungary",2020-07-20,181,4339,6,596,0,3232,9,511,44.9,0.1,5.3,6.2,0,121,117
"10439","Iceland",2020-07-20,181,1930,0,10,0,1907,0,13,566,0,3.8,2.9,0,130,91
"10537","India",2020-07-20,181,1155338,37132,28082,585,724578,24491,402678,83.7,2.7,29.2,2,0,128,119
"10783","Indonesia",2020-07-20,181,88214,1693,4239,96,46977,1576,36998,32.3,0.6,13.5,1.5,0,127,124
"10894","Iran (Islamic Republic of)",2020-07-20,181,276202,2414,14405,217,240087,2299,21710,328.8,2.9,25.8,17.2,0.3,145,147
"11063","Iraq",2020-07-20,181,94693,2163,3869,88,62836,2308,27988,235.4,5.4,69.6,9.6,0.2,129,128
"11101","Ireland",2020-07-20,181,25766,6,1753,0,23364,0,649,521.8,0.1,13.1,35.5,0,128,116
"11249","Israel",2020-07-20,181,52003,1714,415,6,22154,479,29434,600.8,19.8,340,4.8,0.1,130,115
"11438","Italy",2020-07-20,181,244624,190,35058,13,197162,213,12404,404.6,0.3,20.5,58,0,148,146
"11668","Jamaica",2020-07-20,181,809,19,10,0,706,13,93,27.3,0.6,3.1,0.3,0,96,47
"11716","Japan",2020-07-20,181,25706,260,988,2,19603,392,5115,20.3,0.2,4,0.8,0,150,133
"11895","Jordan",2020-07-20,181,1223,5,11,0,1028,4,184,12,0,1.8,0.1,0,120,17
"12083","Kazakhstan",2020-07-20,181,73468,1630,585,210,43401,372,29482,391.3,8.7,157,3.1,1.1,116,101
"12207","Kenya",2020-07-20,181,13771,418,238,4,5616,494,7917,25.6,0.8,14.7,0.4,0,109,96
"12275","Kosovo",2020-07-20,181,5877,142,139,4,3069,101,2669,326.5,7.9,148.3,7.7,0.2,111,95
"12400","Kuwait",2020-07-20,181,59763,559,408,0,50339,652,9016,1399.3,13.1,211.1,9.6,0,128,90
"12642","Kyrgyzstan",2020-07-20,181,27143,0,1037,0,13109,0,12997,416,0,199.2,15.9,0,111,78
"12663","Lao People's Democratic Republic",2020-07-20,181,19,0,0,0,19,0,0,0.3,0,0,0,0,0,0
"12844","Latvia",2020-07-20,181,1192,0,31,0,1022,0,139,63.2,0,7.4,1.6,0,122,89
"13003","Lebanon",2020-07-20,181,2905,46,41,1,1562,47,1302,42.6,0.7,19.1,0.6,0,127,113
"13113","Lesotho",2020-07-20,181,359,0,6,0,69,0,284,16.8,0,13.3,0.3,0,11,0
"13189","Liberia",2020-07-20,181,1107,16,70,0,547,13,490,21.9,0.3,9.7,1.4,0,90,86
"13320","Libya",2020-07-20,181,1980,114,49,1,441,23,1490,28.8,1.7,21.7,0.7,0,53,36
